# ValueCount deltaRoadVehicles
10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
4598 1 1 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 1 0 1 0 
4613 2 2 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 2 2 0 2 0 
4643 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 
7968 4 1 4 0 4 0 4 1 4 0 4 0 4 0 4 0 4 0 4 0 4 0 
7983 5 0 5 0 5 0 5 0 5 0 5 0 5 0 5 0 5 0 5 0 5 0 
7998 6 2 6 0 6 0 6 2 6 0 6 0 6 0 6 0 6 0 6 0 6 0 
8028 7 0 7 0 7 0 7 0 7 0 7 0 7 0 7 0 7 0 7 0 7 0 
8121 8 1 8 0 8 0 8 0 8 0 8 0 8 1 8 0 8 0 8 0 8 0 
8136 9 12 9 0 9 0 9 0 9 0 9 0 9 12 9 0 9 0 9 0 9 0 
8151 10 1 10 0 10 0 10 0 10 0 10 0 10 1 10 0 10 0 10 0 10 0 
8166 11 11 11 0 11 0 11 0 11 0 11 0 11 11 11 0 11 0 11 0 11 0 
8181 12 0 12 0 12 0 12 0 12 0 12 0 12 0 12 0 12 0 12 0 12 0 
11633 13 1 13 0 13 0 13 0 13 0 13 0 13 0 13 0 13 1 13 0 13 0 
11648 14 0 14 0 14 0 14 0 14 0 14 0 14 0 14 0 14 0 14 0 14 0 
11663 15 2 15 0 15 0 15 0 15 0 15 0 15 0 15 0 15 2 15 0 15 0 
11678 16 12 16 0 16 0 16 0 16 0 16 0 16 0 16 0 16 12 16 0 16 0 
11693 17 0 17 0 17 0 17 0 17 0 17 0 17 0 17 0 17 0 17 0 17 0 
16060 18 1 18 0 18 0 18 0 18 0 18 0 18 0 18 0 18 0 18 0 18 1 
16075 19 0 19 0 19 0 19 0 19 0 19 0 19 0 19 0 19 0 19 0 19 0 
16090 20 12 20 0 20 0 20 0 20 0 20 0 20 0 20 0 20 0 20 0 20 12 
16105 21 2 21 0 21 0 21 0 21 0 21 0 21 0 21 0 21 0 21 0 21 2 
16120 22 0 22 0 22 0 22 0 22 0 22 0 22 0 22 0 22 0 22 0 22 0 
19606 23 1 23 1 23 0 23 0 23 0 23 0 23 0 23 0 23 0 23 0 23 0 
19621 24 11 24 11 24 0 24 0 24 0 24 0 24 0 24 0 24 0 24 0 24 0 
19636 25 2 25 2 25 0 25 0 25 0 25 0 25 0 25 0 25 0 25 0 25 0 
19651 26 11 26 11 26 0 26 0 26 0 26 0 26 0 26 0 26 0 26 0 26 0 
19666 27 0 27 0 27 0 27 0 27 0 27 0 27 0 27 0 27 0 27 0 27 0 
20749 28 1 28 0 28 0 28 0 28 1 28 0 28 0 28 0 28 0 28 0 28 0 
20764 29 2 29 0 29 0 29 0 29 2 29 0 29 0 29 0 29 0 29 0 29 0 
20779 30 1 30 0 30 0 30 0 30 1 30 0 30 0 30 0 30 0 30 0 30 0 
20809 31 0 31 0 31 0 31 0 31 0 31 0 31 0 31 0 31 0 31 0 31 0 
20957 32 1 32 0 32 1 32 0 32 0 32 0 32 0 32 0 32 0 32 0 32 0 
20972 33 11 33 0 33 11 33 0 33 0 33 0 33 0 33 0 33 0 33 0 33 0 
20987 34 2 34 0 34 2 34 0 34 0 34 0 34 0 34 0 34 0 34 0 34 0 
21002 35 1 35 0 35 1 35 0 35 0 35 0 35 0 35 0 35 0 35 0 35 0 
21017 36 0 36 0 36 0 36 0 36 0 36 0 36 0 36 0 36 0 36 0 36 0 
21307 37 1 37 0 37 0 37 0 37 0 37 0 37 0 37 1 37 0 37 0 37 0 
21337 38 2 38 0 38 0 38 0 38 0 38 0 38 0 38 2 38 0 38 0 38 0 
21352 39 1 39 0 39 0 39 0 39 0 39 0 39 0 39 1 39 0 39 0 39 0 
21367 40 0 40 0 40 0 40 0 40 0 40 0 40 0 40 0 40 0 40 0 40 0 
23645 41 1 41 0 41 0 41 0 41 0 41 1 41 0 41 0 41 0 41 0 41 0 
23675 42 2 42 0 42 0 42 0 42 0 42 2 42 0 42 0 42 0 42 0 42 0 
23690 43 1 43 0 43 0 43 0 43 0 43 1 43 0 43 0 43 0 43 0 43 0 
23705 44 0 44 0 44 0 44 0 44 0 44 0 44 0 44 0 44 0 44 0 44 0 
26492 45 1 45 0 45 1 45 0 45 0 45 0 45 0 45 0 45 0 45 0 45 0 
26522 46 22 46 0 46 22 46 0 46 0 46 0 46 0 46 0 46 0 46 0 46 0 
26537 47 1 47 0 47 1 47 0 47 0 47 0 47 0 47 0 47 0 47 0 47 0 
26552 48 0 48 0 48 0 48 0 48 0 48 0 48 0 48 0 48 0 48 0 48 0 
