# ValueCount deltaRoads
0 0
1 6
2 4
3 6
4 0
5 7
6 2
7 0
8 7
9 2
10 0
11 2
12 8
13 6
14 8
15 6
16 8
17 6
18 0
19 6
20 8
21 9
22 5
23 8
24 6
25 8
26 27
27 5
28 8
29 2
30 0
31 2
32 6
33 7
34 1
35 0
36 7
37 5
38 4
39 0
40 -2
41 -6
42 -8
43 0
44 6
45 9
46 7
47 8
48 6
49 8
50 6
51 9
52 7
53 8
54 6
55 8
56 6
57 8
58 2
59 0
60 8
61 4
62 8
63 6
64 8
65 6
66 8
67 27
68 7
69 6
70 8
71 4
72 2
73 0
74 1
75 35
76 0
77 6
78 8
79 6
80 32
81 0
