# deltaRoadVehicles deltaRailVehicles
0 0
1 0
0 0
2 0
0 0
0 1
0 0
0 9
0 19
0 0
0 1
0 0
0 1
0 0
0 1
0 0
0 10
0 0
1 0
19 0
2 0
0 0
1 0
0 0
11 0
2 0
0 0
1 0
2 0
0 0
0 1
0 0
0 1
0 0
