# ValueCount deltaRoads
0 0
1 2
2 10
3 11
4 1
5 0
6 2
7 8
8 9
9 8
10 16
11 12
12 11
13 7
14 12
15 6
16 12
17 8
18 18
19 12
20 16
21 12
22 6
23 12
24 8
25 10
26 6
27 0
28 14
29 4
30 5
31 1
32 0
33 6
34 8
35 6
36 16
37 12
38 10
39 16
40 8
41 6
42 8
43 16
44 8
45 4
46 0
