# ValueCount deltaRailways
0 0
1 8
2 11
3 7
4 14
5 16
6 2
7 3
8 4
9 6
10 3
11 4
12 12
13 14
14 3
15 6
16 5
17 0
18 1
19 14
20 3
21 14
22 4
23 14
24 3
25 1
26 0
27 2
28 15
29 4
30 13
31 12
32 0
33 12
34 3
35 14
36 24
37 14
38 3
39 0
