# ValueCount deltaRailways
0 0
1 8
2 11
3 7
4 4
5 16
6 2
7 3
8 4
9 6
10 3
11 4
12 2
13 4
14 3
15 6
16 5
17 0
18 1
19 4
20 3
21 4
22 3
23 1
24 0
25 2
26 15
27 4
28 3
29 2
30 0
31 2
32 3
33 4
34 3
35 0
