# ValueCount deltaRoads
0 0
1 2
2 6
3 7
4 1
5 0
6 2
7 8
8 9
9 5
10 8
11 7
12 8
13 6
14 8
15 6
16 8
17 6
18 8
19 6
20 2
21 0
22 6
23 4
24 5
25 1
26 0
27 2
28 8
29 6
30 8
31 6
32 8
33 6
34 8
35 4
36 0
