# ValueCount deltaRoads
0 0
1 6
2 4
3 6
4 0
5 9
6 2
7 0
8 7
9 2
10 0
11 2
12 8
13 6
14 8
15 6
16 8
17 10
18 8
19 6
20 0
21 6
22 8
23 9
24 5
25 10
26 8
27 6
28 8
29 27
30 5
31 8
32 2
33 0
34 2
35 6
36 9
37 1
38 0
39 7
40 5
41 4
42 0
43 -2
44 -6
45 -8
46 0
47 6
48 9
49 7
50 8
51 6
52 10
53 8
54 6
55 9
56 7
57 8
58 10
59 8
60 10
61 2
62 0
63 8
64 4
65 8
66 6
67 10
68 27
69 7
70 6
71 8
72 4
73 2
74 0
75 1
76 35
77 0
78 6
79 8
80 6
81 32
82 0
