# ValueCount deltaRoads
0 0
1 6
2 4
3 6
4 0
5 17
6 2
7 0
8 7
9 2
10 0
11 2
12 8
13 6
14 8
15 6
16 8
17 18
18 8
19 6
20 0
21 6
22 8
23 9
24 5
25 18
26 8
27 6
28 8
29 27
30 5
31 8
32 2
33 0
34 2
35 6
36 17
37 1
38 0
39 7
40 5
41 4
42 0
43 -2
44 -6
45 -8
46 0
47 6
48 9
49 7
50 8
51 6
52 18
53 8
54 6
55 9
56 7
57 8
58 16
59 18
60 8
61 16
62 8
63 18
64 2
65 0
66 8
67 4
68 8
69 16
70 8
71 6
72 18
73 27
74 7
75 6
76 8
77 4
78 2
79 0
80 1
81 35
82 0
83 6
84 8
85 6
86 32
87 0
