# ValueCount deltaRailVehicles
0 0
1 1
2 0
3 1
4 0
5 1
6 0
7 3
8 0
9 1
10 0
11 2
12 0
13 1
14 0
15 1
16 0
17 1
18 0
19 2
20 0
21 1
22 0
23 1
24 0
25 1
26 0
27 2
28 0
29 1
30 0
31 1
32 0
33 1
34 0
35 1
36 0
37 1
38 0
39 1
40 0
41 1
42 0
43 2
44 0
45 1
46 0
47 2
48 0
49 2
50 0
51 1
52 0
53 1
54 0
55 1
56 0
57 2
58 0
59 1
60 0
61 1
62 0
63 1
64 0
65 2
66 0
