# ValueCount deltaRailVehicles
0 0
1 1
2 0
3 1
4 0
5 1
6 0
7 5
8 0
9 1
10 0
11 3
12 0
13 1
14 0
15 2
16 0
17 1
18 0
19 3
20 0
21 1
22 0
23 2
24 1
25 0
26 1
27 0
28 3
29 0
30 1
31 0
32 1
33 0
34 1
35 0
36 2
37 0
38 1
39 0
40 1
41 0
42 1
43 0
44 3
45 0
46 1
47 0
48 3
49 0
50 3
51 0
52 2
53 0
54 1
55 0
56 1
57 0
58 3
59 0
60 1
61 0
62 2
63 0
64 1
65 0
66 3
67 0
