# ValueCount deltaRoads
10 0 0 
122 1 16 
124 2 33 
137 3 23 
138 4 27 
139 5 15 
152 6 13 
153 7 15 
154 8 14 
167 9 10 
168 10 6 
169 11 2 
183 12 0 
691 13 4 
706 14 6 
736 15 0 
844 16 8 
857 17 12 
859 18 10 
872 19 14 
874 20 16 
887 21 12 
902 22 16 
919 23 14 
934 24 16 
947 25 14 
977 26 8 
979 27 6 
994 28 8 
1024 29 2 
1039 30 0 
2733 31 1 
2748 32 8 
2763 33 6 
2778 34 8 
2823 35 6 
2838 36 8 
2853 37 18 
2868 38 8 
2883 39 6 
2898 40 8 
2928 41 18 
2943 42 6 
2958 43 8 
3003 44 6 
3018 45 18 
3033 46 8 
3048 47 0 
5176 48 2 
5191 49 6 
5206 50 8 
5251 51 7 
5281 52 8 
5311 53 6 
5326 54 8 
5341 55 18 
5356 56 35 
5371 57 5 
5386 58 8 
5431 59 6 
5446 60 8 
5461 61 6 
5476 62 0 
7908 63 4 
7938 64 7 
7953 65 1 
7968 66 0 
10336 67 2 
10351 68 5 
10381 69 4 
10396 70 0 
11688 71 7 
11703 72 5 
11718 73 8 
11748 74 18 
11763 75 6 
11778 76 18 
11793 77 8 
11823 78 6 
11838 79 8 
11853 80 27 
11868 81 7 
11883 82 6 
11898 83 8 
11913 84 26 
11928 85 8 
11943 86 6 
11958 87 8 
11973 88 9 
11988 89 17 
12003 90 6 
12033 91 0 
13066 92 4 
13081 93 8 
13111 94 6 
13126 95 8 
13156 96 18 
13171 97 6 
13186 98 8 
13231 99 6 
13246 100 8 
13276 101 6 
13306 102 0 
16667 103 2 
16682 104 6 
16697 105 17 
16712 106 1 
16727 107 0 
16997 108 2 
17012 109 8 
17027 110 16 
17042 111 8 
17087 112 6 
17102 113 8 
17117 114 16 
17132 115 0 
18181 116 17 
18196 117 7 
18211 118 2 
18226 119 0 
21766 120 6 
21781 121 18 
21796 122 8 
21811 123 16 
21826 124 8 
21871 125 6 
21886 126 8 
21916 127 9 
21931 128 5 
21946 129 8 
21991 130 6 
22006 131 8 
22036 132 2 
22051 133 0 
26896 134 2 
26911 135 5 
26926 136 17 
26941 137 2 
26956 138 0 
